Description,Year,Quarter,Month,DateofWeek,Hour,UnitPrice,Country,Discount,PaymentMethod,ShippingCost,Category,ShipmentProvider,WarehouseLocation,Actual_Quantity,Predicted_Quantity
Backpack,2024,Q4,Oct,Mon,19,44.43,Italy,0.47,Credit Card,27.33,Apparel,Royal Mail,Paris,16,24.08
USB Cable,2024,Q4,Dec,Fri,7,1.0,Sweden,0.49,Credit Card,8.49,Accessories,Royal Mail,Amsterdam,23,26.32
Notebook,2022,Q2,Apr,Fri,1,85.67,Sweden,0.1,Credit Card,10.72,Furniture,Royal Mail,Amsterdam,45,25.24
Blue Pen,2022,Q3,Sep,Thu,12,-81.79,Netherlands,1.984198293,Bank Transfer,,Apparel,Royal Mail,,-20,-22.37
Backpack,2024,Q1,Jan,Sun,6,79.99,Spain,0.46,paypall,26.56,Furniture,FedEx,Rome,24,25.62
Wireless Mouse,2023,Q1,Jan,Mon,3,-68.13,Italy,1.991853038,Bank Transfer,,Furniture,DHL,,-1,-21.48
Backpack,2023,Q1,Mar,Wed,9,89.11,Australia,0.19,paypall,15.92,Electronics,UPS,Amsterdam,27,23.5
Wireless Mouse,2022,Q3,Sep,Tue,12,46.65,Australia,0.05,Bank Transfer,22.46,Apparel,UPS,London,26,24.98
Wall Clock,2022,Q1,Mar,Tue,2,47.74,Netherlands,0.48,Credit Card,27.36,Apparel,DHL,Rome,46,26.13
White Mug,2021,Q1,Mar,Sat,0,35.73,Italy,0.34,Credit Card,25.54,Furniture,DHL,London,37,26.19
Notebook,2023,Q1,Jan,Sun,5,1.61,Spain,0.1,Credit Card,21.79,Furniture,DHL,Berlin,24,23.12
Backpack,2020,Q2,May,Thu,8,39.76,Australia,0.19,Credit Card,15.71,Apparel,FedEx,Amsterdam,14,20.47
Backpack,2022,Q3,Jul,Sun,9,14.67,France,0.35,Bank Transfer,8.18,Furniture,FedEx,Amsterdam,32,28.6
Notebook,2024,Q2,Jun,Sat,8,99.95,Germany,0.17,Credit Card,13.04,Accessories,FedEx,Amsterdam,31,22.07
USB Cable,2023,Q1,Mar,Sat,23,76.91,Norway,0.18,Credit Card,,Stationery,UPS,,-17,-15.83
USB Cable,2022,Q4,Nov,Sat,7,23.78,Germany,0.16,paypall,5.53,Accessories,DHL,Berlin,38,28.26
Desk Lamp,2021,Q3,Aug,Mon,1,77.8,Australia,0.48,Credit Card,28.45,Electronics,Royal Mail,London,31,23.92
Wall Clock,2021,Q3,Sep,Mon,22,77.87,Netherlands,0.16,Credit Card,19.74,Stationery,Royal Mail,London,20,26.64
Blue Pen,2022,Q4,Oct,Sun,8,30.25,Netherlands,0.27,Bank Transfer,10.04,Furniture,Royal Mail,Paris,25,26.77
Office Chair,2023,Q1,Jan,Thu,22,-69.35,Italy,1.332658286,paypall,,Stationery,Royal Mail,,-4,-24.24
Blue Pen,2022,Q3,Jul,Sat,9,24.15,Spain,0.28,Bank Transfer,13.16,Stationery,Royal Mail,London,32,23.54
Headphones,2020,Q2,Apr,Tue,21,48.67,Sweden,0.38,paypall,11.08,Furniture,DHL,Rome,34,24.95
Notebook,2024,Q1,Mar,Sat,17,43.25,Portugal,0.24,Credit Card,22.65,Accessories,UPS,Rome,34,22.62
Headphones,2022,Q2,Apr,Thu,11,55.24,United Kingdom,0.06,Credit Card,8.7,Electronics,UPS,Berlin,28,21.86
White Mug,2023,Q3,Aug,Tue,23,43.48,Belgium,0.18,Credit Card,12.69,Apparel,UPS,Paris,14,27.09
Headphones,2023,Q4,Nov,Thu,2,69.48,Australia,0.18,Bank Transfer,14.53,Apparel,UPS,London,47,24.19
Wall Clock,2021,Q1,Jan,Mon,15,-96.68,France,1.434634782,Bank Transfer,,Accessories,Royal Mail,,-18,-24.83
Wireless Mouse,2020,Q4,Nov,Wed,12,32.98,Sweden,0.2,Bank Transfer,7.94,Electronics,DHL,Amsterdam,35,21.43
Blue Pen,2023,Q2,Jun,Wed,23,85.12,Germany,0.07,paypall,11.1,Electronics,UPS,London,1,24.68
Desk Lamp,2023,Q3,Aug,Sun,3,41.98,France,0.29,paypall,5.86,Accessories,Royal Mail,Berlin,37,22.78
USB Cable,2022,Q1,Feb,Fri,18,97.0,France,0.31,paypall,19.8,Stationery,UPS,London,8,21.13
Wall Clock,2023,Q4,Nov,Sun,9,66.04,Netherlands,0.07,Credit Card,23.75,Accessories,UPS,Amsterdam,17,22.83
Notebook,2022,Q1,Jan,Fri,4,95.28,United Kingdom,0.01,Credit Card,9.64,Electronics,FedEx,London,20,27.34
Headphones,2022,Q2,Jun,Fri,3,2.85,Spain,0.3,Credit Card,6.76,Accessories,UPS,Amsterdam,6,25.57
USB Cable,2023,Q4,Nov,Fri,9,21.64,Sweden,0.31,Bank Transfer,6.95,Apparel,UPS,Amsterdam,7,30.31
Wireless Mouse,2023,Q4,Oct,Wed,15,60.69,Italy,0.19,Credit Card,27.15,Apparel,Royal Mail,Paris,38,25.59
USB Cable,2022,Q1,Jan,Sat,20,26.69,Norway,0.14,Bank Transfer,8.51,Accessories,UPS,London,6,25.82
Wireless Mouse,2022,Q3,Aug,Sat,12,28.51,United Kingdom,0.24,Bank Transfer,28.86,Accessories,DHL,Amsterdam,42,25.16
Blue Pen,2020,Q3,Sep,Fri,4,86.23,Belgium,0.16,Credit Card,19.13,Accessories,DHL,Amsterdam,9,26.88
Wireless Mouse,2023,Q2,Jun,Tue,3,46.95,Sweden,0.19,Bank Transfer,23.94,Electronics,UPS,Amsterdam,44,24.87
Office Chair,2020,Q1,Feb,Sat,10,70.31,United States,0.07,Credit Card,19.31,Apparel,UPS,London,25,26.09
White Mug,2020,Q1,Feb,Sat,16,53.02,Spain,0.49,paypall,14.48,Apparel,FedEx,Berlin,40,28.58
Blue Pen,2020,Q2,Apr,Fri,18,18.2,Spain,0.22,Credit Card,25.82,Accessories,FedEx,Rome,9,26.16
T-shirt,2021,Q2,Apr,Wed,15,62.22,Sweden,0.13,Credit Card,18.39,Electronics,FedEx,,39,20.79
T-shirt,2023,Q4,Oct,Sat,16,26.48,Germany,0.07,Credit Card,11.68,Furniture,DHL,Rome,23,24.5
Backpack,2022,Q1,Feb,Tue,16,40.08,Norway,0.08,paypall,22.62,Electronics,DHL,London,21,26.77
USB Cable,2023,Q2,Jun,Sun,2,54.44,United Kingdom,0.13,paypall,7.0,Electronics,DHL,Amsterdam,5,25.9
Wall Clock,2021,Q4,Dec,Tue,2,93.16,United States,0.39,paypall,25.61,Electronics,DHL,Rome,34,21.99
Blue Pen,2020,Q1,Mar,Sat,11,35.88,Belgium,0.47,Bank Transfer,15.59,Stationery,DHL,Berlin,30,25.37
Office Chair,2024,Q4,Dec,Sat,15,63.74,United Kingdom,0.13,Credit Card,22.64,Stationery,DHL,Rome,25,26.13
Blue Pen,2021,Q2,Apr,Wed,11,-56.5,Spain,1.685367402,paypall,,Accessories,Royal Mail,,-28,-28.71
USB Cable,2020,Q1,Mar,Tue,0,11.35,Spain,0.33,paypall,7.98,Apparel,DHL,Rome,39,25.13
USB Cable,2024,Q3,Sep,Wed,0,97.23,Norway,0.42,Credit Card,12.12,Furniture,DHL,Berlin,39,28.28
T-shirt,2020,Q2,Apr,Sat,21,34.54,United States,0.15,Bank Transfer,12.6,Stationery,UPS,Berlin,4,28.2
Wall Clock,2023,Q4,Oct,Sat,20,4.64,United Kingdom,0.46,paypall,7.97,Furniture,FedEx,London,32,24.98
Blue Pen,2024,Q3,Jul,Sun,14,53.38,Belgium,0.09,Credit Card,21.67,Electronics,FedEx,Paris,29,26.1
Wall Clock,2021,Q1,Mar,Mon,4,92.9,Norway,0.26,paypall,9.96,Furniture,DHL,Amsterdam,23,23.72
White Mug,2021,Q4,Dec,Mon,9,29.68,Sweden,0.45,Bank Transfer,12.15,Stationery,FedEx,Paris,48,24.44
Desk Lamp,2020,Q3,Sep,Tue,21,22.78,Spain,0.37,Bank Transfer,28.28,Accessories,FedEx,Rome,33,24.96
Desk Lamp,2021,Q4,Dec,Tue,22,2.95,Netherlands,0.05,paypall,18.06,Accessories,Royal Mail,Berlin,44,24.96
White Mug,2022,Q3,Jul,Fri,9,12.98,Netherlands,0.1,paypall,24.31,Furniture,DHL,Rome,33,26.14
Wall Clock,2020,Q3,Jul,Wed,23,91.08,Sweden,0.24,Credit Card,29.72,Apparel,UPS,Rome,18,25.84
Headphones,2021,Q4,Nov,Mon,14,68.13,Portugal,0.26,Credit Card,28.99,Accessories,FedEx,Paris,19,27.23
USB Cable,2021,Q2,Apr,Mon,0,52.83,Spain,0.27,Bank Transfer,20.14,Electronics,UPS,Amsterdam,8,24.79
T-shirt,2021,Q2,May,Sat,2,21.85,United Kingdom,0.23,Bank Transfer,19.18,Stationery,FedEx,Rome,37,21.46
Backpack,2020,Q1,Feb,Fri,8,28.82,Belgium,0.01,Bank Transfer,25.77,Stationery,DHL,Amsterdam,24,22.1
T-shirt,2024,Q4,Oct,Wed,20,99.35,Italy,0.23,Credit Card,21.57,Apparel,FedEx,Rome,7,25.5
Backpack,2021,Q1,Jan,Thu,16,88.25,Portugal,0.22,Credit Card,18.89,Apparel,DHL,London,15,28.24
Wireless Mouse,2022,Q1,Jan,Thu,22,18.59,Germany,0.43,paypall,6.13,Electronics,UPS,Paris,8,24.73
Wireless Mouse,2023,Q3,Sep,Tue,17,26.55,Spain,0.44,paypall,28.1,Stationery,Royal Mail,London,12,25.41
White Mug,2024,Q2,Jun,Wed,7,25.84,Portugal,0.45,Bank Transfer,10.32,Apparel,UPS,Amsterdam,41,27.81
Office Chair,2023,Q1,Mar,Tue,19,37.17,Norway,0.14,paypall,23.24,Stationery,FedEx,Berlin,8,23.24
White Mug,2021,Q3,Aug,Thu,16,40.82,United States,0.26,Bank Transfer,13.94,Apparel,DHL,Paris,10,26.58
T-shirt,2022,Q3,Aug,Wed,14,87.49,Belgium,0.13,paypall,25.91,Apparel,Royal Mail,Paris,47,23.0
Notebook,2021,Q3,Jul,Tue,2,32.93,Norway,0.23,Bank Transfer,7.26,Apparel,DHL,Berlin,12,24.05
USB Cable,2021,Q1,Mar,Wed,16,56.61,Netherlands,0.4,paypall,20.77,Accessories,DHL,Berlin,11,26.43
Office Chair,2022,Q3,Aug,Thu,20,90.63,Italy,0.1,paypall,9.63,Electronics,DHL,Amsterdam,32,29.28
Wall Clock,2024,Q4,Dec,Tue,1,95.34,Netherlands,0.46,Bank Transfer,20.03,Furniture,Royal Mail,Amsterdam,24,25.78
Wall Clock,2022,Q2,May,Tue,9,92.88,Spain,0.12,Bank Transfer,20.4,Accessories,UPS,London,41,24.04
Notebook,2022,Q4,Dec,Tue,11,-53.1,Norway,1.930416057,Credit Card,,Stationery,FedEx,,-14,-29.81
USB Cable,2021,Q3,Jul,Thu,16,90.54,Australia,0.29,Bank Transfer,17.67,Apparel,DHL,London,39,24.13
Notebook,2020,Q4,Dec,Sun,21,1.72,France,0.4,Bank Transfer,,Stationery,DHL,,-49,-29.6
Backpack,2022,Q2,Jun,Thu,1,22.45,Belgium,0.2,paypall,28.42,Accessories,UPS,London,28,23.02
Wall Clock,2024,Q1,Feb,Sun,1,15.21,Italy,0.34,Credit Card,5.28,Accessories,DHL,Rome,17,24.66
Backpack,2022,Q2,Apr,Sat,8,-62.2,Netherlands,0.26,paypall,,Furniture,FedEx,,-38,-27.51
Backpack,2021,Q3,Sep,Mon,21,35.99,Italy,0.32,Credit Card,10.49,Electronics,FedEx,Rome,41,22.67
Office Chair,2021,Q1,Feb,Thu,6,7.1,United Kingdom,0.05,Credit Card,18.01,Accessories,FedEx,,23,20.54
Notebook,2021,Q1,Mar,Wed,14,12.59,Sweden,0.31,paypall,21.03,Furniture,DHL,,11,26.94
Notebook,2020,Q4,Nov,Mon,2,29.06,Netherlands,0.22,Bank Transfer,16.77,Apparel,UPS,London,6,23.57
Notebook,2023,Q2,Jun,Sun,3,30.89,Portugal,0.1,paypall,19.45,Furniture,Royal Mail,Paris,20,22.67
Headphones,2020,Q3,Jul,Mon,23,62.96,Netherlands,0.39,paypall,24.69,Furniture,UPS,Amsterdam,6,22.68
Blue Pen,2022,Q3,Aug,Wed,23,28.6,Germany,0.21,Bank Transfer,9.47,Apparel,DHL,Berlin,24,26.81
USB Cable,2020,Q2,May,Fri,11,78.27,Belgium,0.14,Credit Card,28.38,Apparel,UPS,,42,26.54
Desk Lamp,2022,Q2,May,Tue,21,58.54,Sweden,0.35,paypall,19.78,Electronics,FedEx,London,46,24.64
Notebook,2021,Q3,Jul,Sat,22,27.62,Australia,0.19,Bank Transfer,25.96,Accessories,UPS,Berlin,28,25.77
USB Cable,2022,Q4,Nov,Mon,20,25.26,Germany,0.08,paypall,14.39,Apparel,FedEx,London,39,23.34
Wireless Mouse,2020,Q3,Sep,Fri,15,-42.5,Belgium,0.32,Bank Transfer,,Electronics,UPS,,-11,-26.95
Wireless Mouse,2024,Q3,Jul,Fri,2,12.2,Australia,0.3,Credit Card,25.5,Stationery,DHL,Paris,1,21.76
USB Cable,2020,Q2,Apr,Thu,6,56.22,United States,0.38,paypall,16.12,Furniture,UPS,Berlin,14,25.98
Desk Lamp,2024,Q1,Feb,Wed,21,6.49,Australia,0.47,Credit Card,14.66,Stationery,DHL,Rome,34,27.85
Notebook,2023,Q3,Jul,Sat,2,73.69,Spain,0.22,Bank Transfer,10.68,Furniture,UPS,Amsterdam,32,25.12
Blue Pen,2024,Q2,May,Fri,18,40.56,France,0.13,paypall,18.15,Electronics,UPS,London,21,22.76
USB Cable,2020,Q2,Apr,Thu,23,99.91,France,0.18,Bank Transfer,6.96,Accessories,DHL,Paris,14,26.39
T-shirt,2020,Q2,May,Thu,16,6.43,Portugal,0.34,Bank Transfer,26.82,Furniture,DHL,Berlin,18,20.57
Headphones,2024,Q3,Aug,Thu,15,10.7,France,0.09,paypall,22.19,Electronics,FedEx,Rome,35,21.92
Office Chair,2020,Q4,Nov,Sun,16,18.39,Norway,0.38,paypall,,Accessories,DHL,,-7,-23.54
USB Cable,2021,Q2,Apr,Wed,17,45.98,Belgium,0.16,Credit Card,11.52,Electronics,FedEx,Rome,26,26.72
T-shirt,2024,Q4,Dec,Wed,17,9.92,Spain,0.11,Credit Card,15.39,Stationery,UPS,Amsterdam,36,28.61
Desk Lamp,2022,Q3,Aug,Wed,8,92.79,Germany,0.13,paypall,25.09,Furniture,Royal Mail,London,14,22.21
Backpack,2023,Q1,Feb,Fri,1,37.08,United States,0.26,Bank Transfer,6.01,Electronics,FedEx,Berlin,40,21.7
Headphones,2020,Q1,Jan,Wed,13,2.09,Spain,0.47,Credit Card,19.22,Stationery,Royal Mail,Paris,3,25.79
Headphones,2024,Q3,Aug,Sun,22,7.45,United States,0.32,Bank Transfer,15.28,Electronics,DHL,Amsterdam,45,26.55
Office Chair,2023,Q2,Apr,Thu,10,49.99,Netherlands,0.07,paypall,15.97,Apparel,Royal Mail,Amsterdam,47,26.15
T-shirt,2022,Q4,Nov,Fri,10,8.7,Australia,0.02,Bank Transfer,6.98,Electronics,Royal Mail,Rome,35,26.22
White Mug,2021,Q2,May,Sat,22,-11.04,Norway,0.23,paypall,,Accessories,Royal Mail,,-17,-24.5
Headphones,2023,Q1,Mar,Sat,7,45.37,Italy,0.0,Bank Transfer,26.59,Stationery,DHL,Amsterdam,27,26.51
White Mug,2024,Q4,Nov,Sun,10,65.91,Germany,0.11,paypall,16.71,Apparel,DHL,London,38,21.47
Office Chair,2023,Q3,Jul,Mon,10,21.38,France,0.22,paypall,12.71,Electronics,DHL,Rome,43,25.47
Wall Clock,2020,Q4,Nov,Sat,8,71.59,Belgium,0.36,paypall,,Accessories,DHL,,-47,-29.76
Office Chair,2022,Q3,Sep,Tue,9,81.27,United Kingdom,0.45,Bank Transfer,10.69,Accessories,FedEx,Berlin,14,24.81
Desk Lamp,2023,Q1,Jan,Thu,2,27.2,Germany,0.29,Bank Transfer,9.47,Electronics,UPS,Rome,38,19.92
Headphones,2023,Q1,Mar,Thu,5,86.18,Netherlands,0.12,Credit Card,15.15,Apparel,Royal Mail,Rome,16,23.58
Wall Clock,2020,Q3,Jul,Tue,18,72.79,United States,0.24,Bank Transfer,13.91,Electronics,Royal Mail,Paris,34,26.48
Headphones,2021,Q4,Nov,Sun,1,-83.11,Spain,0.43,Bank Transfer,,Furniture,UPS,,-40,-25.65
Desk Lamp,2020,Q3,Aug,Fri,3,63.1,Norway,0.16,Credit Card,27.88,Accessories,DHL,London,3,25.0
Wall Clock,2023,Q3,Jul,Sun,23,10.59,Spain,0.25,Credit Card,20.23,Electronics,UPS,London,11,26.18
T-shirt,2021,Q4,Dec,Sun,15,81.28,Australia,0.06,Credit Card,6.19,Stationery,UPS,Paris,35,21.9
Blue Pen,2021,Q1,Feb,Mon,23,-52.57,Portugal,0.42,paypall,,Accessories,DHL,,-3,-24.98
Blue Pen,2021,Q4,Nov,Sun,7,29.02,France,0.34,Bank Transfer,15.85,Electronics,UPS,London,10,27.59
Wireless Mouse,2024,Q4,Dec,Mon,14,97.29,Belgium,0.18,Credit Card,17.0,Accessories,UPS,Amsterdam,36,23.55
USB Cable,2022,Q1,Jan,Sun,10,98.58,France,0.33,paypall,8.63,Apparel,FedEx,Amsterdam,39,24.88
Wireless Mouse,2021,Q3,Sep,Sat,21,17.38,Germany,0.01,paypall,25.61,Electronics,UPS,Paris,15,22.73
Wireless Mouse,2021,Q3,Jul,Tue,11,88.33,Sweden,0.34,Bank Transfer,6.46,Apparel,DHL,London,31,23.39
USB Cable,2021,Q3,Sep,Mon,2,64.64,Belgium,0.31,Credit Card,24.04,Stationery,UPS,Amsterdam,47,24.92
Wall Clock,2023,Q3,Aug,Sun,4,41.33,Australia,0.02,Bank Transfer,21.49,Furniture,UPS,Rome,41,22.5
USB Cable,2022,Q2,May,Mon,12,49.2,Portugal,0.15,Bank Transfer,29.58,Furniture,UPS,Berlin,29,23.11
Desk Lamp,2021,Q2,Jun,Wed,14,-68.91,Norway,1.816381095,Bank Transfer,,Electronics,Royal Mail,,-24,-27.23
Office Chair,2022,Q3,Aug,Mon,17,43.09,Italy,0.14,paypall,21.47,Accessories,Royal Mail,,6,27.32
Headphones,2021,Q3,Aug,Tue,22,-70.08,United Kingdom,1.55249548,Bank Transfer,,Stationery,DHL,,-36,-26.41
Office Chair,2024,Q4,Dec,Sun,20,33.44,Norway,0.12,Bank Transfer,11.02,Electronics,UPS,Paris,13,23.4
Desk Lamp,2020,Q1,Feb,Thu,13,71.34,Belgium,0.37,Credit Card,28.35,Electronics,FedEx,Paris,14,25.47
Backpack,2022,Q3,Jul,Sun,21,75.87,Belgium,0.2,Bank Transfer,19.72,Furniture,FedEx,Rome,45,25.32
Headphones,2023,Q1,Mar,Fri,10,-7.14,Australia,1.215336234,Bank Transfer,,Electronics,UPS,,-45,-18.03
T-shirt,2024,Q3,Sep,Sun,15,11.71,Sweden,0.08,Credit Card,19.67,Stationery,UPS,Rome,34,24.08
Wall Clock,2023,Q4,Dec,Sat,9,55.14,Portugal,0.32,Credit Card,12.68,Stationery,FedEx,Amsterdam,29,24.64
T-shirt,2023,Q3,Sep,Thu,23,14.15,Australia,0.35,paypall,14.81,Accessories,Royal Mail,Rome,7,26.29
Wireless Mouse,2024,Q1,Mar,Tue,17,42.55,Italy,0.38,paypall,22.24,Furniture,DHL,Paris,10,26.56
T-shirt,2023,Q2,Jun,Mon,13,38.42,Portugal,0.12,paypall,27.48,Furniture,UPS,Paris,14,25.8
Desk Lamp,2021,Q1,Mar,Thu,1,58.14,Spain,0.38,Bank Transfer,18.75,Stationery,FedEx,Rome,35,24.61
Desk Lamp,2024,Q2,Apr,Sun,21,94.55,United Kingdom,0.35,Credit Card,27.27,Accessories,FedEx,London,46,25.87
T-shirt,2020,Q1,Mar,Sat,7,60.17,Australia,0.47,Credit Card,26.31,Accessories,Royal Mail,,23,22.09
Backpack,2021,Q2,Apr,Tue,3,72.13,Australia,0.35,Credit Card,19.81,Apparel,FedEx,,31,22.93
Desk Lamp,2021,Q4,Dec,Tue,8,83.64,Portugal,0.2,paypall,16.55,Electronics,Royal Mail,Amsterdam,48,24.28
T-shirt,2020,Q3,Aug,Thu,4,21.28,Germany,0.27,Credit Card,29.46,Apparel,FedEx,,19,27.49
Headphones,2024,Q3,Sep,Tue,22,77.98,France,0.23,Bank Transfer,25.5,Accessories,UPS,Berlin,20,25.6
T-shirt,2023,Q2,Jun,Sat,8,11.78,United Kingdom,0.42,paypall,23.22,Electronics,DHL,Berlin,28,21.83
T-shirt,2022,Q1,Feb,Sun,20,4.59,Sweden,0.37,paypall,28.26,Apparel,FedEx,,42,24.78
White Mug,2021,Q2,May,Mon,18,24.07,Norway,0.28,Credit Card,13.58,Apparel,FedEx,Berlin,28,23.2
Office Chair,2021,Q4,Nov,Tue,4,48.18,Belgium,0.4,paypall,27.31,Apparel,DHL,Amsterdam,22,22.68
Office Chair,2024,Q4,Oct,Thu,10,90.73,Australia,0.11,Bank Transfer,9.92,Stationery,UPS,London,42,25.07
Blue Pen,2024,Q2,Jun,Thu,3,34.01,Sweden,0.09,Credit Card,25.94,Accessories,DHL,Amsterdam,25,23.34
Notebook,2022,Q2,May,Wed,16,11.1,Norway,0.17,Credit Card,12.45,Accessories,UPS,Berlin,48,31.24
White Mug,2024,Q3,Sep,Thu,0,75.82,Germany,0.21,Credit Card,6.3,Accessories,DHL,Berlin,8,23.03
Headphones,2020,Q4,Oct,Thu,8,23.44,Italy,0.46,Bank Transfer,16.99,Apparel,FedEx,London,29,21.81
Notebook,2022,Q3,Jul,Fri,5,49.2,Belgium,0.26,Credit Card,26.3,Furniture,FedEx,,22,22.72
T-shirt,2024,Q1,Mar,Tue,15,68.47,Sweden,0.08,Credit Card,22.13,Accessories,FedEx,Paris,34,24.96
Wall Clock,2020,Q1,Jan,Sun,9,69.36,Netherlands,0.48,paypall,27.99,Stationery,FedEx,Paris,28,21.57
Desk Lamp,2023,Q3,Aug,Thu,7,98.57,Norway,0.17,paypall,7.2,Apparel,DHL,Paris,10,22.93
Headphones,2020,Q2,Jun,Sat,0,34.59,Portugal,0.05,Bank Transfer,9.54,Accessories,UPS,Berlin,39,27.92
Backpack,2022,Q4,Oct,Mon,20,99.08,Italy,0.5,paypall,24.75,Electronics,DHL,Berlin,12,27.57
White Mug,2022,Q2,Jun,Sat,8,46.43,Spain,0.22,paypall,9.3,Furniture,FedEx,Paris,29,28.41
Backpack,2021,Q2,May,Wed,5,69.56,Netherlands,0.09,paypall,28.33,Furniture,UPS,Paris,32,24.54
Desk Lamp,2020,Q3,Aug,Tue,0,44.09,United Kingdom,0.45,Credit Card,29.56,Furniture,Royal Mail,London,42,23.06
T-shirt,2023,Q1,Feb,Mon,10,6.97,United Kingdom,0.43,paypall,18.98,Accessories,DHL,Amsterdam,31,22.46
T-shirt,2021,Q4,Dec,Wed,11,89.01,Germany,0.38,Credit Card,22.49,Electronics,DHL,Berlin,14,25.84
Wall Clock,2021,Q2,Jun,Sat,21,11.05,Sweden,0.02,Credit Card,10.78,Stationery,DHL,London,8,26.12
Headphones,2023,Q3,Sep,Wed,8,29.64,France,0.35,Bank Transfer,8.68,Furniture,UPS,Rome,23,23.85
White Mug,2023,Q1,Jan,Thu,21,4.75,Norway,0.46,paypall,14.5,Electronics,UPS,Rome,19,27.73
Notebook,2021,Q1,Mar,Mon,3,53.44,United States,0.23,paypall,11.41,Furniture,UPS,Amsterdam,2,20.6
Desk Lamp,2024,Q1,Jan,Wed,11,98.54,Netherlands,0.48,Bank Transfer,10.03,Stationery,FedEx,London,26,24.53
Notebook,2020,Q2,May,Sat,10,4.8,Portugal,0.45,paypall,14.7,Stationery,UPS,Rome,1,26.61
T-shirt,2020,Q1,Jan,Mon,7,38.41,Spain,0.39,Credit Card,14.67,Stationery,FedEx,London,5,26.0
Notebook,2023,Q3,Aug,Tue,12,-53.87,Portugal,1.951837464,Credit Card,,Electronics,Royal Mail,,-1,-26.29
Wall Clock,2020,Q3,Sep,Wed,4,-44.76,Italy,1.217085845,paypall,,Accessories,UPS,,-22,-25.0
USB Cable,2024,Q4,Dec,Fri,3,71.88,France,0.41,Bank Transfer,12.36,Electronics,FedEx,Rome,31,22.73
Wireless Mouse,2021,Q3,Sep,Sat,19,26.54,Norway,0.12,paypall,10.13,Furniture,FedEx,Paris,3,24.26
White Mug,2022,Q4,Dec,Fri,20,75.8,Germany,0.08,Credit Card,11.93,Furniture,DHL,Rome,27,27.53
Blue Pen,2024,Q3,Jul,Thu,15,80.21,Spain,0.02,paypall,22.71,Apparel,FedEx,London,43,19.77
Headphones,2022,Q2,May,Sat,9,42.84,Sweden,0.34,Credit Card,29.34,Accessories,FedEx,Amsterdam,29,27.63
Backpack,2020,Q2,Jun,Sat,6,43.23,Norway,0.16,Credit Card,8.68,Stationery,FedEx,London,20,27.97
Headphones,2021,Q1,Feb,Fri,9,-89.46,Spain,1.222846759,paypall,,Electronics,UPS,,-19,-23.0
Desk Lamp,2023,Q2,Apr,Thu,7,60.6,France,0.46,Bank Transfer,6.57,Electronics,FedEx,London,2,24.84
Notebook,2023,Q1,Mar,Thu,2,44.56,Australia,0.37,paypall,19.13,Apparel,FedEx,Rome,27,23.22
Headphones,2024,Q2,Jun,Tue,7,37.62,Sweden,0.26,Bank Transfer,10.66,Apparel,Royal Mail,Paris,19,25.24
Wall Clock,2023,Q1,Jan,Wed,8,17.89,Belgium,0.19,Credit Card,17.16,Stationery,DHL,Amsterdam,19,22.56
USB Cable,2022,Q4,Dec,Mon,14,91.0,Germany,0.09,Credit Card,17.05,Accessories,DHL,,28,25.33
USB Cable,2021,Q4,Nov,Fri,12,18.66,Netherlands,0.4,paypall,6.21,Apparel,FedEx,London,21,24.13
Backpack,2024,Q2,May,Fri,2,-11.04,Netherlands,1.984971897,Bank Transfer,,Accessories,UPS,,-35,-26.31
White Mug,2022,Q1,Jan,Wed,4,48.95,Spain,0.05,paypall,16.5,Accessories,UPS,Berlin,19,25.36
Wireless Mouse,2023,Q1,Mar,Wed,12,8.93,Italy,0.48,Credit Card,24.91,Apparel,FedEx,Amsterdam,24,24.17
Desk Lamp,2024,Q4,Oct,Wed,12,84.75,Australia,0.34,paypall,22.7,Electronics,UPS,London,40,23.81
Desk Lamp,2020,Q3,Sep,Tue,9,29.34,United States,0.45,paypall,13.73,Accessories,FedEx,London,14,25.95
Wireless Mouse,2021,Q4,Oct,Sun,7,75.35,Australia,0.23,Bank Transfer,26.7,Furniture,Royal Mail,Amsterdam,34,23.91
Office Chair,2022,Q2,Apr,Tue,12,40.43,France,0.29,Bank Transfer,10.42,Accessories,DHL,London,9,26.25
Wireless Mouse,2021,Q2,May,Sun,10,23.43,Australia,0.05,Bank Transfer,23.1,Furniture,DHL,Paris,6,25.45
Headphones,2020,Q4,Nov,Wed,19,72.81,United States,0.09,paypall,6.08,Stationery,UPS,Berlin,17,24.45
T-shirt,2020,Q2,Jun,Wed,19,57.12,Norway,0.13,Credit Card,26.25,Furniture,FedEx,Rome,12,27.34
Wireless Mouse,2020,Q4,Oct,Thu,9,59.09,Sweden,0.02,paypall,,Accessories,Royal Mail,,-50,-27.76
T-shirt,2021,Q1,Mar,Fri,14,3.55,Italy,0.44,paypall,18.08,Furniture,Royal Mail,Paris,25,28.46
Desk Lamp,2022,Q2,Apr,Mon,22,77.08,Australia,0.32,paypall,23.66,Stationery,Royal Mail,Rome,14,22.86
Wall Clock,2023,Q1,Feb,Thu,2,64.39,Norway,0.33,Bank Transfer,13.12,Apparel,Royal Mail,Berlin,23,20.3
Backpack,2021,Q3,Sep,Thu,8,45.19,Sweden,0.11,paypall,5.72,Accessories,DHL,Berlin,2,25.72
Notebook,2022,Q3,Aug,Sat,20,56.29,United Kingdom,0.1,paypall,9.92,Stationery,FedEx,London,16,24.04
